name,price,quantity,with_tax,href
Dead Reckoning Chest,$0.24 USD,32.910,none,https://steamcommunity.com/market/listings/570/Dead%20Reckoning%20Chest
Fury of the Thunderhawk Loading Screen,$0.03 USD,10.203,0.16₴,https://steamcommunity.com/market/listings/570/Fury%20of%20the%20Thunderhawk%20Loading%20Screen
Epaulettes of the Scorching Princess,$0.03 USD,2.057,RM0.04,https://steamcommunity.com/market/listings/570/Epaulettes%20of%20the%20Scorching%20Princess
Howls of the Northmarch - Belt,$0.03 USD,17.641,none,https://steamcommunity.com/market/listings/570/Howls%20of%20the%20Northmarch%20-%20Belt
Compendium Umbra Rider Shield,$0.03 USD,1.714,none,https://steamcommunity.com/market/listings/570/Compendium%20Umbra%20Rider%20Shield
Path of the Blossom Loading Screen,$0.03 USD,1.266,P0.36,https://steamcommunity.com/market/listings/570/Path%20of%20the%20Blossom%20Loading%20Screen
Tangled Tropics - Weapon,$0.03 USD,23.320,0.30 руб.,https://steamcommunity.com/market/listings/570/Tangled%20Tropics%20-%20Weapon
Plates of the Tree Punisher,$0.03 USD,1.620,0.70 руб.,https://steamcommunity.com/market/listings/570/Plates%20of%20the%20Tree%20Punisher
Sovereign of the Menacing Guise,$0.03 USD,402,0.42 руб.,https://steamcommunity.com/market/listings/570/Sovereign%20of%20the%20Menacing%20Guise
Faction of the Feather - Weapon,$0.03 USD,11.831,0.16₴,https://steamcommunity.com/market/listings/570/Faction%20of%20the%20Feather%20-%20Weapon
Inscribed Kills After Reincarnation,$0.04 USD,285,1.15 руб.,https://steamcommunity.com/market/listings/570/Inscribed%20Kills%20After%20Reincarnation
Belt of the Deepweed Drowner,$0.03 USD,1.863,none,https://steamcommunity.com/market/listings/570/Belt%20of%20the%20Deepweed%20Drowner
The Abscesserator,$5.70 USD,605,575 руб.,https://steamcommunity.com/market/listings/570/The%20Abscesserator
Gown of the Charred Bloodline,$0.03 USD,887,none,https://steamcommunity.com/market/listings/570/Gown%20of%20the%20Charred%20Bloodline
Arms of Desolation,$7.16 USD,373,3 519.98₸,https://steamcommunity.com/market/listings/570/Arms%20of%20Desolation
Heat of the Sixth Hell - Head,$0.03 USD,12.758,1.67₸,https://steamcommunity.com/market/listings/570/Heat%20of%20the%20Sixth%20Hell%20-%20Head
Manifold Paradox,$21.21 USD,539,P1.207.50,https://steamcommunity.com/market/listings/570/Manifold%20Paradox
Howls of the Northmarch - Shoulders,$0.03 USD,18.152,none,https://steamcommunity.com/market/listings/570/Howls%20of%20the%20Northmarch%20-%20Shoulders
Auspicious Ancient Armor Breastplates,$0.06 USD,39,none,https://steamcommunity.com/market/listings/570/Auspicious%20Ancient%20Armor%20Breastplates
Faction of the Feather - Shoulder,$0.03 USD,14.724,0.16₴,https://steamcommunity.com/market/listings/570/Faction%20of%20the%20Feather%20-%20Shoulder
Feast of Abscession - Back,$0.82 USD,1.804,none,https://steamcommunity.com/market/listings/570/Feast%20of%20Abscession%20-%20Back
Reaper's Wreath,$5.07 USD,543,¥ 35.80,https://steamcommunity.com/market/listings/570/Reaper%27s%20Wreath
Magus Accord,$13.11 USD,237,none,https://steamcommunity.com/market/listings/570/Magus%20Accord
Head of the Lucent Gate,$0.03 USD,2.039,none,https://steamcommunity.com/market/listings/570/Head%20of%20the%20Lucent%20Gate
Inscribed Arms of Desolation,$6.37 USD,460,none,https://steamcommunity.com/market/listings/570/Inscribed%20Arms%20of%20Desolation
Oaths of the Beloved Loading Screen,$0.03 USD,15.050,none,https://steamcommunity.com/market/listings/570/Oaths%20of%20the%20Beloved%20Loading%20Screen
Oaths of the Beloved - Legs,$0.03 USD,15.599,none,https://steamcommunity.com/market/listings/570/Oaths%20of%20the%20Beloved%20-%20Legs
Tail of Defilement,$0.03 USD,154,none,https://steamcommunity.com/market/listings/570/Tail%20of%20Defilement
Volcanic Sanctuary - Spiderling,$0.03 USD,17.224,none,https://steamcommunity.com/market/listings/570/Volcanic%20Sanctuary%20-%20Spiderling
Temple Gala - Weapon,$0.03 USD,6.015,none,https://steamcommunity.com/market/listings/570/Temple%20Gala%20-%20Weapon
